City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,brokopondo,4.75,-55.1667,31.05,57,73,1.75,SR,1699734483
287,ketchikan,55.3422,-131.6461,7.26,87,75,3.09,US,1699734484
288,prado,-17.3411,-39.2208,26.46,71,2,7.02,BR,1699734485
289,harstad,68.799,16.5293,-0.47,78,10,6.26,NO,1699734485
290,kirgiz-miyaki,53.6324,54.7979,3.14,86,100,4.01,RU,1699734486
291,dhrangadhra,22.9833,71.4667,22.9,30,56,3.13,IN,1699734487
292,tsiombe,-25.3,45.4833,20.91,69,0,7.53,MG,1699734488
293,polyarnyy,69.1989,33.4478,-5.22,87,91,2.74,RU,1699734489
294,roma,43.2128,-75.4557,4.65,62,0,5.14,US,1699734489
295,champerico,14.3,-91.9167,35.3,74,15,2.65,GT,1699734490
296,mount pearl,47.5166,-52.7813,2.96,92,100,10.29,CA,1699734491
297,karratha,-20.7377,116.8463,23.12,61,7,5.73,AU,1699734492
298,turaif,31.6725,38.6637,19.14,32,0,2.06,SA,1699734493
299,aitape,-3.1374,142.3475,25.42,89,95,2.15,PG,1699734493
300,bahia de kino,28.8333,-111.9333,28.84,27,0,3.43,MX,1699734495
301,east london,-33.0153,27.9116,18.86,76,31,6.39,ZA,1699734352
302,markivka,49.5229,39.5705,7.98,58,100,9.1,UA,1699734496
303,port hedland,-20.3167,118.5667,24.03,83,2,3.6,AU,1699734497
304,terbuny,52.1389,38.2789,5.22,78,100,7.77,RU,1699734498
305,inyonga,-6.7167,32.0667,23.85,50,95,0.72,TZ,1699734499
306,bundu,23.1833,85.5833,20.12,61,0,1.22,IN,1699734500
307,broken hill,-31.95,141.4333,16.69,30,31,7.21,AU,1699734501
308,maragogi,-9.0122,-35.2225,26.36,66,53,5.0,BR,1699734501
309,ust-nera,64.5667,143.2,-33.53,98,72,1.75,RU,1699734502
310,muisne,0.6,-80.0333,26.07,79,99,4.96,EC,1699734503
311,iquitos,-3.7481,-73.2472,32.02,62,40,1.03,PE,1699734504
312,nuku'alofa,-21.1333,-175.2,23.19,78,100,6.69,TO,1699734319
313,saynshand,44.8824,110.1163,-15.17,82,4,2.39,MN,1699734506
314,santa ines,-3.6667,-45.38,35.87,33,59,3.29,BR,1699734507
315,cartagena,10.3997,-75.5144,31.79,74,40,3.6,CO,1699734202
316,berezovo,63.9381,65.0419,-1.01,91,100,1.99,RU,1699734511
317,hami,42.8,93.45,4.33,26,100,3.75,CN,1699734511
318,trinidad,-14.8333,-64.9,38.99,35,40,6.69,BO,1699734512
319,caconda,-13.7333,15.0667,20.79,57,99,0.58,AO,1699734513
320,princeville,45.7668,-61.2985,4.62,92,100,1.03,CA,1699733979
321,sisimiut,66.9395,-53.6735,-6.2,92,100,5.3,GL,1699734330
322,mossel bay,-34.1831,22.146,16.96,75,20,5.39,ZA,1699734515
323,jayapura,-2.5333,140.7,25.66,92,100,2.26,ID,1699734516
324,ancud,-41.8697,-73.8203,8.03,68,61,9.2,CL,1699734245
325,mili,6.0815,171.735,28.7,79,100,8.37,MH,1699734520
326,illizi,26.4833,8.4667,20.89,25,0,2.86,DZ,1699734521
327,barra de santo antonio,-9.4047,-35.5072,27.6,68,76,4.94,BR,1699734521
328,oak grove,45.4168,-122.6401,12.83,88,100,5.14,US,1699734522
329,al fqih ben calah,32.5009,-6.6906,21.41,44,0,3.29,MA,1699734523
330,dalandzadgad,43.5708,104.425,-6.19,28,0,3.52,MN,1699734524
331,jatai,-17.8814,-51.7144,37.67,15,86,3.75,BR,1699734525
332,carloforte,39.145,8.3058,18.98,81,83,6.64,IT,1699734526
